com.ibm.etools.server.core CONFIG  03/09/07 11:13.11.159   Loaded server resource factory: com.ibm.etools.websphere.tools.v4.internal.factory.WASConfigurationFactory
com.ibm.etools.server.core CONFIG  03/09/07 11:13.11.159   Loaded server resource factory: com.ibm.etools.websphere.tools.v4.internal.factory.WASRemoteServerFactory
com.ibm.etools.server.core CONFIG  03/09/07 11:13.11.159   Loaded server resource factory: com.ibm.websphere.v5.configuration.base
com.ibm.etools.server.core CONFIG  03/09/07 11:13.11.159   Loaded server resource factory: com.ibm.websphere.v5.server.remote.base
com.ibm.etools.server.core CONFIG  03/09/07 11:13.11.159 -<- Done loading .factories extension point -<-
com.ibm.etools.server.core CONFIG  03/09/07 11:13.11.159 ->- Loading .serverTargets extension point ->-
com.ibm.etools.server.core CONFIG  03/09/07 11:13.11.169   Loaded serverTarget: com.ibm.etools.websphere.serverTarget.express.v5
com.ibm.etools.server.core CONFIG  03/09/07 11:13.11.169   Loaded serverTarget: com.ibm.etools.websphere.serverTarget.base.v51
com.ibm.etools.server.core CONFIG  03/09/07 11:13.11.169   Loaded serverTarget: com.ibm.etools.tomcat.serverTarget.v32
com.ibm.etools.server.core CONFIG  03/09/07 11:13.11.169   Loaded serverTarget: com.ibm.etools.tomcat.serverTarget.v40
com.ibm.etools.server.core CONFIG  03/09/07 11:13.11.169   Loaded serverTarget: com.ibm.etools.tomcat.serverTarget.v41
com.ibm.etools.server.core CONFIG  03/09/07 11:13.11.169   Loaded serverTarget: com.ibm.etools.websphere.serverTarget.express.v51
com.ibm.etools.server.core CONFIG  03/09/07 11:13.11.169   Loaded serverTarget: com.ibm.etools.websphere.aes.v4
com.ibm.etools.server.core CONFIG  03/09/07 11:13.11.169   Loaded serverTarget: com.ibm.etools.websphere.serverTarget.base.v5
com.ibm.etools.server.core CONFIG  03/09/07 11:13.11.169 -<- Done loading .serverTargets extension point -<-
com.ibm.etools.server.core CONFIG  03/09/07 11:14.48.290 -----<----- Server Core plugin shutdown -----<-----
